Municipio,Sector,Estrato,Servicio,Cargo Fijo,Cargo por Consumo Menor,Cargo por Consumo Mayor,Cargo por Consumo,Suspensión,Reinstalación,Reconexión,Corte,Año,Mes
Bello,Industrial,Industrial,alcantarillado,6897.70,0.00,0.00,2640.98,0.00,0.00,0.00,0.00,2017,Agosto
Girardota,Residencial,1,alcantarillado,1379.54,526.57,1755.23,0.00,0.00,0.00,0.00,0.00,2017,Mayo
Sabaneta,Residencial,3,acueducto,8308.94,1722.35,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Diciembre
Caldas,Residencial,5,acueducto,12848.87,2259.98,2259.98,0.00,10326.62,8851.87,16229.00,17703.74,2017,Noviembre
Caldas,Residencial,5,acueducto,12848.87,2257.12,2257.12,0.00,10326.62,8851.87,16229.00,17703.74,2017,Julio
Caldas,Industrial,Industrial,alcantarillado,5978.01,0.00,0.00,836.37,0.00,0.00,0.00,0.00,2017,Abril
Barbosa,Residencial,1,acueducto,5996.14,914.93,1307.04,0.00,10326.62,8851.87,16229.00,17703.74,2017,Junio
Barbosa,Residencial,1,acueducto,5996.14,914.93,1307.04,0.00,10326.62,8851.87,16229.00,17703.74,2017,Julio
Itaguí,Residencial,5,acueducto,12848.87,2663.42,2663.42,0.00,10326.62,8851.87,16229.00,17703.74,2017,Diciembre
Girardota,Residencial,2,alcantarillado,2759.08,1053.14,1755.23,0.00,0.00,0.00,0.00,0.00,2017,Junio
Envigado,Oficial y Exenta,Oficial y Exenta,acueducto,8565.91,0.00,0.00,1773.70,10326.62,8851.87,16229.00,17703.74,2017,Mayo
Envigado,Residencial,1,alcantarillado,1379.54,528.20,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Agosto
Barbosa,Oficial y Exenta,Oficial y Exenta,acueducto,8565.91,0.00,0.00,1308.95,10326.62,8851.87,16229.00,17703.74,2017,Noviembre
La Estrella,Residencial,5,alcantarillado,6897.70,2640.98,2640.98,0.00,0.00,0.00,0.00,0.00,2017,Noviembre
Itaguí,Residencial,5,alcantarillado,6897.70,2640.98,2640.98,0.00,0.00,0.00,0.00,0.00,2017,Diciembre
Medellin,Residencial,4,alcantarillado,4598.47,1755.23,1755.23,0.00,0.00,0.00,0.00,0.00,2017,Junio
Medellin,Residencial,4,alcantarillado,4598.47,1760.66,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Octubre
Girardota,Residencial,4,acueducto,8565.91,1775.61,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Agosto
Envigado,Residencial,2,acueducto,5139.55,1064.22,1773.70,0.00,10326.62,8851.87,16229.00,17703.74,2017,Junio
La Estrella,Oficial y Exenta,Oficial y Exenta,alcantarillado,4598.47,0.00,0.00,1760.66,0.00,0.00,0.00,0.00,2017,Agosto
Itaguí,Residencial,4,alcantarillado,4590.96,1760.66,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Enero
Bello,Residencial,4,acueducto,8565.91,1775.61,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Noviembre
Envigado,Residencial,1,acueducto,2569.77,532.68,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Octubre
Sabaneta,Residencial,4,acueducto,8556.37,2046.93,2046.93,0.00,10326.62,8851.87,16229.00,17703.74,2017,Enero
Envigado,Comercial,Comercial,alcantarillado,7127.62,0.00,0.00,2729.02,0.00,0.00,0.00,0.00,2017,Octubre
Barbosa,Oficial y Exenta,Oficial y Exenta,acueducto,8565.91,0.00,0.00,1307.04,10326.62,8851.87,16229.00,17703.74,2017,Junio
Sabaneta,Residencial,5,alcantarillado,6897.70,2640.98,2640.98,0.00,0.00,0.00,0.00,0.00,2017,Diciembre
Caldas,Oficial y Exenta,Oficial y Exenta,acueducto,8303.49,0.00,0.00,1459.05,10326.62,8851.87,16229.00,17703.74,2017,Marzo
Copacabana,Residencial,4,alcantarillado,4598.47,1755.23,1755.23,0.00,0.00,0.00,0.00,0.00,2017,Junio
Barbosa,Residencial,4,acueducto,8556.37,1404.27,1404.27,0.00,10326.62,8851.87,16229.00,17703.74,2017,Enero
Caldas,Residencial,3,acueducto,8565.91,1504.74,1504.74,0.00,10326.62,8851.87,16229.00,17703.74,2017,Abril
Girardota,Comercial,Comercial,alcantarillado,6897.70,0.00,0.00,2632.84,0.00,0.00,0.00,0.00,2017,Abril
Envigado,Residencial,3,alcantarillado,4276.57,1632.36,1755.23,0.00,0.00,0.00,0.00,0.00,2017,Julio
Barbosa,Residencial,5,acueducto,12848.87,1963.42,1963.42,0.00,10326.62,8851.87,16229.00,17703.74,2017,Septiembre
Medellin,Residencial,4,alcantarillado,4598.47,1755.23,1755.23,0.00,0.00,0.00,0.00,0.00,2017,Julio
Sabaneta,Residencial,6,alcantarillado,7357.55,2808.36,2808.36,0.00,0.00,0.00,0.00,0.00,2017,Abril
Caldas,Comercial,Comercial,alcantarillado,6897.70,0.00,0.00,971.39,0.00,0.00,0.00,0.00,2017,Noviembre
Todos,Todos,Todos,acueducto,0.00,0.00,0.00,0.00,10935.89,8851.87,16229.00,17703.74,2017,Diciembre
Todos,Todos,Todos,acueducto,0.00,0.00,0.00,0.00,10935.89,8851.87,16229.00,17703.74,2017,Diciembre
Medellin,Residencial,3,alcantarillado,4023.66,1540.57,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Diciembre
Caldas,Comercial,Comercial,alcantarillado,6897.70,0.00,0.00,971.39,0.00,0.00,0.00,0.00,2017,Agosto
Girardota,Residencial,3,alcantarillado,3902.32,1496.56,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Enero
Sabaneta,Residencial,5,alcantarillado,6686.39,2553.54,2553.54,0.00,0.00,0.00,0.00,0.00,2017,Febrero
Itaguí,Residencial,6,alcantarillado,7357.55,2808.36,2808.36,0.00,0.00,0.00,0.00,0.00,2017,Mayo
Itaguí,Residencial,1,acueducto,4711.25,976.59,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Diciembre
Barbosa,Industrial,Industrial,alcantarillado,6886.44,0.00,0.00,1385.96,0.00,0.00,0.00,0.00,2017,Enero
Girardota,Residencial,4,alcantarillado,4598.47,1755.23,1755.23,0.00,0.00,0.00,0.00,0.00,2017,Abril
Sabaneta,Residencial,2,acueducto,5133.82,1228.16,2046.93,0.00,10326.62,8851.87,16229.00,17703.74,2017,Enero
Sabaneta,Residencial,6,acueducto,13705.46,2840.98,2840.98,0.00,10326.62,8851.87,16229.00,17703.74,2017,Septiembre
Envigado,Comercial,Comercial,alcantarillado,6686.39,0.00,0.00,2553.54,0.00,0.00,0.00,0.00,2017,Febrero
Barbosa,Industrial,Industrial,alcantarillado,6897.70,0.00,0.00,1423.79,0.00,0.00,0.00,0.00,2017,Octubre
Envigado,Residencial,6,acueducto,14733.37,3054.06,3054.06,0.00,10326.62,8851.87,16229.00,17703.74,2017,Agosto
Barbosa,Residencial,4,alcantarillado,4590.96,1019.34,1019.34,0.00,0.00,0.00,0.00,0.00,2017,Enero
Caldas,Oficial y Exenta,Oficial y Exenta,acueducto,8565.91,0.00,0.00,1506.65,10326.62,8851.87,16229.00,17703.74,2017,Agosto
Copacabana,Residencial,5,acueducto,13962.44,2894.25,2894.25,0.00,10326.62,8851.87,16229.00,17703.74,2017,Septiembre
Girardota,Residencial,3,alcantarillado,3908.70,1496.56,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Agosto
Envigado,Residencial,5,acueducto,13277.17,2749.24,2749.24,0.00,10326.62,8851.87,16229.00,17703.74,2017,Junio
Barbosa,Residencial,6,acueducto,13705.46,2091.26,2091.26,0.00,10326.62,8851.87,16229.00,17703.74,2017,Junio
Caldas,Residencial,6,alcantarillado,7357.55,1036.14,1036.14,0.00,0.00,0.00,0.00,0.00,2017,Septiembre
Bello,Comercial,Comercial,acueducto,13277.16,0.00,0.00,2749.24,10326.62,8851.87,16229.00,17703.74,2017,Abril
Envigado,Residencial,2,alcantarillado,2759.08,1053.14,1755.23,0.00,0.00,0.00,0.00,0.00,2017,Mayo
Bello,Residencial,3,alcantarillado,4011.83,1532.12,1702.36,0.00,0.00,0.00,0.00,0.00,2017,Febrero
Caldas,Industrial,Industrial,alcantarillado,5968.25,0.00,0.00,812.16,0.00,0.00,0.00,0.00,2017,Enero
La Estrella,Residencial,3,acueducto,8565.91,1773.70,1773.70,0.00,10326.62,8851.87,16229.00,17703.74,2017,Abril
Sabaneta,Residencial,3,acueducto,8308.94,1720.49,1773.70,0.00,10326.62,8851.87,16229.00,17703.74,2017,Julio
Sabaneta,Residencial,1,alcantarillado,1379.54,528.20,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Noviembre
Caldas,Residencial,6,acueducto,13705.46,2410.65,2410.65,0.00,10326.62,8851.87,16229.00,17703.74,2017,Septiembre
Envigado,Residencial,5,alcantarillado,6686.39,2553.54,2553.54,0.00,0.00,0.00,0.00,0.00,2017,Marzo
Girardota,Residencial,5,alcantarillado,6897.70,2640.98,2640.98,0.00,0.00,0.00,0.00,0.00,2017,Diciembre
Medellin,Residencial,5,alcantarillado,6897.70,2632.84,2632.84,0.00,0.00,0.00,0.00,0.00,2017,Junio
Copacabana,Residencial,6,alcantarillado,8126.00,3116.36,3116.36,0.00,0.00,0.00,0.00,0.00,2017,Enero
Sabaneta,Residencial,2,acueducto,5139.55,1065.37,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Octubre
Girardota,Residencial,2,acueducto,5139.55,1065.37,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Septiembre
Bello,Residencial,2,acueducto,4982.09,1031.86,1719.77,0.00,10326.62,8851.87,16229.00,17703.74,2017,Febrero
Bello,Residencial,4,acueducto,8565.91,1773.70,1773.70,0.00,10326.62,8851.87,16229.00,17703.74,2017,Mayo
Caldas,Residencial,4,acueducto,8565.91,1506.65,1506.65,0.00,10326.62,8851.87,16229.00,17703.74,2017,Septiembre
Sabaneta,Residencial,5,alcantarillado,6897.70,2632.84,2632.84,0.00,0.00,0.00,0.00,0.00,2017,Abril
Sabaneta,Residencial,5,alcantarillado,6686.39,2553.54,2553.54,0.00,0.00,0.00,0.00,0.00,2017,Marzo
Bello,Residencial,6,acueducto,15418.64,3196.10,3196.10,0.00,10326.62,8851.87,16229.00,17703.74,2017,Agosto
Itaguí,Residencial,2,acueducto,5567.84,1152.91,1773.70,0.00,10326.62,8851.87,16229.00,17703.74,2017,Mayo
Barbosa,Residencial,3,acueducto,8556.37,1404.27,1404.27,0.00,10326.62,8851.87,16229.00,17703.74,2017,Enero
Itaguí,Industrial,Industrial,alcantarillado,5978.01,0.00,0.00,2281.79,0.00,0.00,0.00,0.00,2017,Mayo
Girardota,Industrial,Industrial,alcantarillado,6897.70,0.00,0.00,2632.84,0.00,0.00,0.00,0.00,2017,Mayo
Bello,Oficial y Exenta,Oficial y Exenta,acueducto,8565.91,0.00,0.00,1773.70,10326.62,8851.87,16229.00,17703.74,2017,Mayo
Sabaneta,Residencial,4,acueducto,8565.91,1775.61,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Octubre
Bello,Residencial,3,alcantarillado,4138.62,1584.59,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Octubre
Caldas,Residencial,3,acueducto,8565.91,1504.74,1504.74,0.00,10326.62,8851.87,16229.00,17703.74,2017,Junio
Sabaneta,Residencial,5,alcantarillado,6897.70,2632.84,2632.84,0.00,0.00,0.00,0.00,0.00,2017,Junio
La Estrella,Comercial,Comercial,alcantarillado,6909.26,0.00,0.00,2638.66,0.00,0.00,0.00,0.00,2017,Marzo
Girardota,Industrial,Industrial,acueducto,12848.87,0.00,0.00,2663.42,10326.62,8851.87,16229.00,17703.74,2017,Septiembre
Envigado,Residencial,4,acueducto,8565.91,1775.61,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Septiembre
Barbosa,Residencial,3,alcantarillado,4598.47,949.19,949.19,0.00,0.00,0.00,0.00,0.00,2017,Septiembre
Bello,Residencial,1,alcantarillado,1337.28,510.71,1702.36,0.00,0.00,0.00,0.00,0.00,2017,Marzo
Bello,Residencial,3,acueducto,8565.91,1775.61,1775.61,0.00,10326.62,8851.87,16229.00,17703.74,2017,Agosto
Medellin,Residencial,5,acueducto,12848.87,2660.56,2660.56,0.00,10326.62,8851.87,16229.00,17703.74,2017,Junio
Girardota,Residencial,2,alcantarillado,2759.08,1056.39,1760.66,0.00,0.00,0.00,0.00,0.00,2017,Agosto
Caldas,Residencial,4,acueducto,8556.37,1539.36,1539.36,0.00,10326.62,8851.87,16229.00,17703.74,2017,Enero
Caldas,Comercial,Comercial,acueducto,12848.87,0.00,0.00,2259.98,10326.62,8851.87,16229.00,17703.74,2017,Agosto
Caldas,Residencial,6,alcantarillado,7357.55,1036.14,1036.14,0.00,0.00,0.00,0.00,0.00,2017,Octubre
Caldas,Industrial,Industrial,alcantarillado,5978.01,0.00,0.00,836.37,0.00,0.00,0.00,0.00,2017,Mayo
Copacabana,Oficial y Exenta,Oficial y Exenta,acueducto,8565.91,0.00,0.00,1773.70,10326.62,8851.87,16229.00,17703.74,2017,Julio
Barbosa,Residencial,6,alcantarillado,7357.55,1523.09,1523.09,0.00,0.00,0.00,0.00,0.00,2017,Junio
Bello,Residencial,5,acueducto,15401.47,3684.47,3684.47,0.00,10326.62,8851.87,16229.00,17703.74,2017,Enero
Copacabana,Residencial,1,alcantarillado,2299.23,877.61,1755.23,0.00,0.00,0.00,0.00,0.00,2017,Junio
Envigado,Industrial,Industrial,acueducto,13277.17,0.00,0.00,2752.20,10326.62,8851.87,16229.00,17703.74,2017,Octubre
Copacabana,Residencial,5,acueducto,13962.44,2894.25,2894.25,0.00,10326.62,8851.87,16229.00,17703.74,2017,Diciembre
Sabaneta,Comercial,Comercial,alcantarillado,7127.62,0.00,0.00,2729.02,0.00,0.00,0.00,0.00,2017,Octubre
Caldas,Residencial,1,acueducto,4625.59,813.59,1506.65,0.00,10326.62,8851.87,16229.00,17703.74,2017,Noviembre
